corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tabasaran	belt	0001	#	#	##	##				
tabasaran	belt	0001	q’uˁ-r	two-HSG	ln_num	ln_num				
tabasaran	belt	0001	dustː	friend(ABS)	np.h:s	np	h	s	1002	new
tabasaran	belt	0001	a-x-nu	PFV-HSG-become-PST	v:predex	v		predex		
tabasaran	belt	0002	#	#	##	##				
tabasaran	belt	0002	sa-r	one-HSG	np.h:s	np	h	s	1003	bridging
tabasaran	belt	0002	maz̊gli-ʔin	Mezhgul-SUPER	pn_np:pred_l	pn_np		pred_l	1004	new
tabasaran	belt	0002	#	#	##	##				
tabasaran	belt	0002	sa-r-sa	one-HSG-else	np.h:s	np	h	s	1005	bridging
tabasaran	belt	0002	=na	=ADD	=other	=other				
tabasaran	belt	0002	a-x-nu	PFV-HSG-become-PST	v:pred	v		pred		
tabasaran	belt	0002	ʁaˁrac’an.ǯi	Qaratsan(IN)	pn_np:l	pn_np		l	1006	new
tabasaran	belt	0003	#	#	##	##				
tabasaran	belt	0003	maz̊gli-ʔin	Mezhgul-SUPER	ln_pn_np	ln_pn_np			1004	
tabasaran	belt	0003	al-i-r.i-n	(SUPER)be-PTCP-HSG-GEN	ln	ln				
tabasaran	belt	0003	c̊ur	name(ABS)	np:s	np		s		
tabasaran	belt	0003	vu	COP	cop	cop				
tabasaran	belt	0003	nüraˤli	Nurali	pn_np:pred	pn_np		pred	1003	
tabasaran	belt	0003	#	#	##	##				
tabasaran	belt	0003	ʁaˁrac’an.ǯi	Qaratsan(IN)	ln_pn_np	ln_pn_np			1006	
tabasaran	belt	0003	a-ji-r.i-n	(IN)be-PTCP-HSG-GEN	ln	ln				
tabasaran	belt	0003	0	0_name	0:s	0		s		
tabasaran	belt	0003	rabadan	Rabadan	pn_np:pred	pn_np		pred	1005	
tabasaran	belt	0004	#	#	##	##				
tabasaran	belt	0004	mur-ar	PROX(ABS)-PL	dem_pro.h:s	dem_pro	h	s	1002	
tabasaran	belt	0004	#	#	#rc_pc	#rc_pc				
tabasaran	belt	0004	0	0_friends	rel_f0.h:s_cp_pc	rel_f0	h	s_cp_pc		
tabasaran	belt	0004	lap	very	lv	lv				
tabasaran	belt	0004	juk’ʷ	heart	other:lvc	other		lvc		
tabasaran	belt	0004	al-i	(SUPER)be-PTCP	v:pred	v		pred		
tabasaran	belt	0004	%	%	%	%				
tabasaran	belt	0004	dustː-ar	friend(ABS)-PL	np.h:pred	np	h	pred		
tabasaran	belt	0004	vu-ǯi	COP-ICVB	cop	cop				
tabasaran	belt	0004	a-x-nu	PFV-HSG-become-PST	rv_aux	rv_aux				
tabasaran	belt	0005	#	#	##	##				
