ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
belt_0001,mctabasaran,q’uˁr dustː axnu.,#	q’uˁ-r	dustː	a-x-nu,#	two-HSG	friend(ABS)	PFV-HSG-become-PST,There were two friends.,en,WORD_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,0,5995,##	ln_num	np.h:s	v:predex,,belt,∅	∅	1002	∅,∅	∅	1002	∅,∅	∅	new	∅
belt_0002,mctabasaran,"sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.",#	sa-r	maz̊gli-ʔin	#	sa-r-sa	=na	a-x-nu	ʁaˁrac’an.ǯi,#	one-HSG	Mezhgul-SUPER	#	one-HSG-else	=ADD	PFV-HSG-become-PST	Qaratsan(IN),One was in Mezhgul and the other was in Qaratsan.,en,WORD_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,5995,13964,##	np.h:s	pn_np:pred_l	##	np.h:s	=other	v:pred	pn_np:l,,belt,∅	1003	1004	∅	1005	∅	∅	1006,∅	1003	1004	∅	1005	∅	∅	1006,∅	bridging	new	∅	bridging	∅	∅	new
belt_0003,mctabasaran,"maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.",#	maz̊gli-ʔin	al-i-r.i-n	c̊ur	vu	nüraˤli	#	ʁaˁrac’an.ǯi	a-ji-r.i-n	0	rabadan,#	Mezhgul-SUPER	(SUPER)be-PTCP-HSG-GEN	name(ABS)	COP	Nurali	#	Qaratsan(IN)	(IN)be-PTCP-HSG-GEN	0_name	Rabadan,"The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.",en,MORPHEME_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,13964,20603,##	ln_pn_np	ln	np:s	cop	pn_np:pred	##	ln_pn_np	ln	0:s	pn_np:pred,,belt,∅	1004	∅	∅	∅	1003	∅	1006	∅	∅	1005,∅	1004	∅	∅	∅	1003	∅	1006	∅	∅	1005,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
belt_0004,mctabasaran,murar lap juk’ʷ ali dustːar vuǯi axnu.,#	mur-ar	#	0	lap	juk’ʷ	al-i	%	dustː-ar	vu-ǯi	a-x-nu,#	PROX(ABS)-PL	#	0_friends	very	heart	(SUPER)be-PTCP	%	friend(ABS)-PL	COP-ICVB	PFV-HSG-become-PST,They were very close friends.,en,WORD_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,20603,23349,##	dem_pro.h:s	#rc_pc	rel_f0.h:s_cp_pc	lv	other:lvc	v:pred	%	np.h:pred	cop	rv_aux,,belt,∅	1002	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	1002	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
belt_0005,mctabasaran,"sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.",#	#	0	sa-r	sa-r.i-x-na	ʁuˁ-ri	aˁ-ri	%	#	0	χaˁluz̊-val	ap’u-ri	%	#	0	a-ji-b	paj	ap’u-ri	%	#	0	huˁrmat	ap’u-ri	%	#	0	sa-r	sa-r.i-q-ǯi	dus-ri	ʁuduʒ̊u-ri	%	0	#	0	gizaf	uǯu-dar	juk’ʷ	al-i	%	dustː-ar	vu-ǯi	šul-u,#	#	0_friends	one-HSG	one-HSG-APUD-LAT	go-ICVB	come-ICVB	%	#	0_friends	host-ABSTR(ABS)	do-ICVB	%	#	0_friends	(IN)be-PTCP-N(ABS)	part	do-ICVB	%	#	0_friends	respect(ABS)	do-ICVB	%	#	0_friends	one-HSG	one-HSG-POST-DIR	<HSG>seat-ICVB	<HSG>stand_up-ICVB	%	0_friends	#	0_friends	many	good-PL	heart(ABS)	(SUPER)be-PTCP	%	friend(ABS)-PL	COP-ICVB	become-FUT,"They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.",en,MORPHEME_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,23349,35028,##	#cv	0.h:s_cv	refl.h:obl	rn	v:pred	rv_v	%	#cv	0.h:a_cp_cv	other:lvc	v:pred	%	#cv	0.h:a_cp_cv	np:p	other:lvc	v:pred	%	#cv	0.h:a_cp_cv	other:lvc	v:pred	%	#cv	0.h:s_cp_cv	refl.h:obl	rn	v:pred	rv_v	%	0.h:s	#rc_pc	0.h:s_cp_pc	ln	ln	other:lvc	v:pred	%	np.h:pred	cop	rv_aux,,belt,∅	∅	1002	1002	∅	∅	∅	∅	∅	1002	∅	∅	∅	∅	1002	∅	∅	∅	∅	∅	1002	∅	∅	∅	∅	1002	1002	∅	∅	∅	∅	1002	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	1002	1002	∅	∅	∅	∅	∅	1002	∅	∅	∅	∅	1002	∅	∅	∅	∅	∅	1002	∅	∅	∅	∅	1002	1002	∅	∅	∅	∅	1002	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
belt_0006,mctabasaran,hacːib vaχtː vuji.,#	ha-cːi-b	vaχtː	vu-ji,#	EMPH-DIST+ADV-N	time(ABS)	COP-PTCP,The time was so.,en,MORPHEME_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,35028,36524,#pc	other:pred_other	np:s_pc	cop,,belt,∅	∅	∅	∅,∅	∅	∅	∅,∅	∅	∅	∅
belt_0007,mctabasaran,sab vaχtna maz̊glar.i nüraˤli ktaʁuru zamina ʁaravul.ǯi ʁul.an.,#	sa-b	vaχt-na	maz̊gl-ar.i	nüraˤli	ktaʁ-uru	zamina	ʁaravul.ǯi	ʁul.a-n,#	one-N	time-TEMP	Mezhgul-PL(ERG)	Nurali(ABS)	<HSG>choose-FUT	reliable	guard(ERG)	village-GEN,Once the inhabitants of Mezhgul elected Nurali to be reliable guard for the village.,en,MORPHEME_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,36524,42655,##	ln_num	np:other	np.h:a	pn_np.h:p	v:pred	ln_adj	np.h:obl	rn_np:poss,,belt,∅	∅	∅	1007	1003	∅	∅	∅	1004,∅	∅	∅	1007	1003	∅	∅	∅	1004,∅	∅	∅	bridging	∅	∅	∅	∅	∅
belt_0008,mctabasaran,"zamina ʁaravul ʁapigan, značit hamu ʁul.an vari har sab χl.a aji, značit, šej.nan ejsival ap’uru uduq’ruru dupnu, nüraˤlikan ap’uru zamina ʁaravul.",#	zamina	ʁaravul	ʁa-pi-gan	značit	ha-mu	ʁul.a-n	vari	har	sa-b	χl.a	a-ji	značit	šej.na-n	ejsi-val	ap’-uru	uduq’r-uru	du-p-nu	#	0	nüraˤli-k-an	ap’-uru	zamina	ʁaravul,#	reliable	guard(ABS)	PFV-say-TEMP	that_is	EMPH-PROX(ABS)	village-GEN	all	each	one-N	house(IN)	(IN)be-IPFV	that_is	thing-GEN	owner-ABSTR(ABS)	do-FUT	<HSG>manage-FUT	PFV-say-PCVB	#	0_villagers	Nuriali-CONT-ELAT	do-FUT	reliable	guard(ABS),"""Reliable guard"" means that he can protect ownership of things in every house of the village; they made Nurali reliable guard.",en,MORPHEME_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,42655,55167,#nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	##	0.h:a	pn_np.h:obl	v:pred	ln_adj	np.h:p,,belt,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	1007	1003	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	1007	1003	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
belt_0009,mctabasaran,hamu vaχtːna značit mu ʁul.aʔ šulu sab haˁdisa.,#	ha-mu	vaχtː-na	značit	mu	ʁul.a-ʔ	šul-u	sa-b	haˁdisa,#	EMPH-PROX(ABS)	time-TEMP	that_is	PROX(ATTR)	village-IN	become-FUT	one-N	incident(ABS),At that time there happens an episode in this village.,en,MORPHEME_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,55167,58596,##	ln_dem	np:other	other	ln_dem	np:l	v:predex	ln_num	np:s,,belt,∅	∅	∅	∅	∅	1004	∅	∅	∅,∅	∅	∅	∅	∅	1004	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅
belt_0010,mctabasaran,"ʁaˁrac’an.ǯiz liχuz ʁušu ʁulandar.i, šaˁjb.nu, rabadan.ǯin χpːir.in kamar hiči<b>k’nu ʁuˁru hatlin.",#	#	#	ʁaˁrac’an.ǯi-z	#	0	liχu-z	%	0	ʁ-uš-u	%	ʁulandar.i	šaˁjb.nu	rabadan.ǯi-n	χpːir.i-n	kamar	hiči<b>k’-nu	%	0	ʁuˁ-ru	ha-t-l-in,#	#	#	Qaratsan-DAT	#	0_Shaban	work-INF	%	0_Shaban	PFV-<HSG>go-PTCP	%	village_inhabitant(ERG)	Shaban(ERG)	Rabadan-GEN	wife-GEN	silver_belt(ABS)	<N>steal-PCVB	%	0_Shaban	go-FUT	EMPH-DIST-SUPER-ELAT,"A village inhabitant who went to work to Qaratsan, Shaban, stole a silver belt from Rabadan's wife and came back from there.",en,MORPHEME_ALIGNED,,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,,58596,68536,##	#cv	#rc_pc	pn_np.h:g	#cc_in	f0.h:s_in	vother:pred	%	rel_f0.h:s_pc	v:pred	%	np.h:a_cv	pn_np.h:appos	ln_pn_np.h:poss	ln_np.h:poss	np:p	v:pred	%	0.h:s	v:pred	dem_pro:obl,,belt,∅	∅	∅	1006	∅	1008	∅	∅	1008	∅	∅	1008	1008	1005	1009	1010	∅	∅	1008	∅	1006,∅	∅	∅	1006	∅	1008	∅	∅	1008	∅	∅	1008	1008	1005	1009	1010	∅	∅	1008	∅	1006,∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	new	new	∅	∅	∅	∅	∅
